matchday,date,time,home_team,away_team,result,status,,,,,,,,,,
13,20/10/2025,19:00,LD Alajuelense,Deportivo Saprissa,2-0,Final,,,,,,,,,,
13,21/10/2025,19:00,Guadalupe,Sporting FC,2-2,Final,,,,,,,,,,
14,25/10/2025,19:00,AD San Carlos,Guadalupe,1-1,Final,,,,,,,,,,
14,26/10/2025,19:00,Sporting FC,Municipal Liberia,3-0,Final,,,,,,,,,,
14,26/10/2025,19:00,CS Herediano,CS Cartaginés,2-1,Final,,,,,,,,,,
14,26/10/2025,19:00,Deportivo Saprissa,Puntarenas FC,2-1,Final,,,,,,,,,,
14,27/10/2025,19:00,LD Alajuelense,Municipal Pérez Zeledón,3-2,Final,,,,,,,,,,
15,01/11/2025,19:00,Sporting FC,CS Herediano,0-1,Final,,,,,,,,,,
15,02/11/2025,19:00,Puntarenas FC,Municipal Pérez Zeledón,1-2,Final,,,,,,,,,,
15,02/11/2025,19:00,Guadalupe,Deportivo Saprissa,1-3,Final,,,,,,,,,,
15,02/11/2025,19:00,CS Cartaginés,AD San Carlos,2-1,Final,,,,,,,,,,
15,03/11/2025,19:00,Municipal Liberia,LD Alajuelense,1-4,Final,,,,,,,,,,
16,22/11/2025,19:00,Municipal Liberia,Guadalupe,1-0,Final,,,,,,,,,,
16,23/11/2025,19:00,Deportivo Saprissa,CS Herediano,1-1,Final,,,,,,,,,,
16,23/11/2025,19:00,LD Alajuelense,Sporting FC,2-0,Final,,,,,,,,,,
16,24/11/2025,19:00,AD San Carlos,Puntarenas FC,1-1,Final,,,,,,,,,,
16,25/11/2025,19:00,Municipal Pérez Zeledón,CS Cartaginés,1-3,Final,,,,,,,,,,
17,30/11/2025,19:00,Guadalupe,Municipal Pérez Zeledón,2-3,Final,,,,,,,,,,
17,30/11/2025,19:00,CS Herediano,AD San Carlos,3-1,Final,,,,,,,,,,
17,30/11/2025,19:00,CS Cartaginés,LD Alajuelense,0-2,Final,,,,,,,,,,
17,30/11/2025,19:00,Deportivo Saprissa,Municipal Liberia,3-1,Final,,,,,,,,,,
17,01/12/2025,19:00,Puntarenas FC,Sporting FC,0-0,Final,,,,,,,,,,
18,06/12/2025,19:00,Sporting FC,Deportivo Saprissa,0-0,Final,,,,,,,,,,
18,07/12/2025,19:00,Puntarenas FC,Guadalupe,4-0,Final,,,,,,,,,,
18,07/12/2025,19:00,AD San Carlos,LD Alajuelense,0-2,Final,,,,,,,,,,
18,07/12/2025,19:00,CS Cartaginés,Municipal Liberia,0-0,Final,,,,,,,,,,
18,07/12/2025,19:00,Municipal Pérez Zeledón,CS Herediano,1-3,Final,,,,,,,,,,
19,11/12/2025,19:00,Municipal Liberia,LD Alajuelense,1-1,Final,,,,,,,,,,
19,12/12/2025,19:00,CS Cartaginés,Deportivo Saprissa,1-2,Final,,,,,,,,,,
19,14/12/2025,19:00,LD Alajuelense,Municipal Liberia,3-0,Final,,,,,,,,,,
19,14/12/2025,19:00,Deportivo Saprissa,CS Cartaginés,2-1,Final,,,,,,,,,,
19,18/12/2025,19:00,Deportivo Saprissa,LD Alajuelense,2-2,Final,,,,,,,,,,
19,21/12/2025,19:00,LD Alajuelense,Deportivo Saprissa,3-1,Final,,,,,,,,,,
20,14/01/2026,19:00,Municipal Pérez Zeledón,AD San Carlos,3-1,Final,,,,,,,,,,
20,14/01/2026,19:00,Deportivo Saprissa,Puntarenas FC,2-2,Final,,,,,,,,,,
20,15/01/2026,19:00,Sporting FC,CS Herediano,0-2,Final,,,,,,,,,,
20,15/01/2026,19:00,CS Cartaginés,Guadalupe,2-1,Final,,,,,,,,,,
20,16/01/2026,19:00,LD Alajuelense,Municipal Liberia,2-2,Final,,,,,,,,,,
21,18/01/2026,19:00,Puntarenas FC,CS Cartaginés,0-2,Final,,,,,,,,,,
21,18/01/2026,19:00,CS Herediano,Deportivo Saprissa,2-0,Final,,,,,,,,,,
21,18/01/2026,19:00,Municipal Pérez Zeledón,LD Alajuelense,1-1,Final,,,,,,,,,,
21,19/01/2026,19:00,Guadalupe,Municipal Liberia,2-1,Final,,,,,,,,,,
21,19/01/2026,19:00,AD San Carlos,Sporting FC,3-0,Final,,,,,,,,,,
22,21/01/2026,19:00,CS Herediano,Guadalupe,4-0,Final,,,,,,,,,,
22,22/01/2026,19:00,AD San Carlos,Puntarenas FC,1-0,Final,,,,,,,,,,
22,22/01/2026,19:00,CS Cartaginés,LD Alajuelense,1-0,Final,,,,,,,,,,
22,23/01/2026,19:00,Municipal Liberia,Municipal Pérez Zeledón,1-1,Final,,,,,,,,,,
22,23/01/2026,19:00,Sporting FC,Deportivo Saprissa,0-1,Final,,,,,,,,,,
23,25/01/2026,19:00,Puntarenas FC,Guadalupe,0-0,Final,,,,,,,,,,
23,25/01/2026,19:00,LD Alajuelense,AD San Carlos,1-0,Final,,,,,,,,,,
23,25/01/2026,19:00,Municipal Liberia,CS Herediano,1-0,Final,,,,,,,,,,
23,26/01/2026,19:00,Deportivo Saprissa,CS Cartaginés,0-0,Final,,,,,,,,,,
23,27/01/2026,19:00,Municipal Pérez Zeledón,Sporting FC,0-0,Final,,,,,,,,,,
24,28/01/2026,19:00,Guadalupe,LD Alajuelense,1-3,Final,,,,,,,,,,
24,29/01/2026,19:00,AD San Carlos,Municipal Liberia,1-0,Final,,,,,,,,,,
24,29/01/2026,19:00,CS Herediano,Puntarenas FC,2-1,Final,,,,,,,,,,
24,29/01/2026,19:00,Municipal Pérez Zeledón,Deportivo Saprissa,3-3,Final,,,,,,,,,,
24,30/01/2026,19:00,CS Cartaginés,Sporting FC,0-2,Final,,,,,,,,,,
25,07/02/2026,19:00,Municipal Liberia,Puntarenas FC,1-4,Final,,,,,,,,,,
25,08/02/2026,19:00,LD Alajuelense,CS Herediano,1-1,Final,,,,,,,,,,
25,08/02/2026,19:00,CS Cartaginés,Municipal Pérez Zeledón,1-0,Final,,,,,,,,,,
25,08/02/2026,19:00,Deportivo Saprissa,AD San Carlos,2-1,Final,,,,,,,,,,
25,09/02/2026,19:00,Sporting FC,Guadalupe,1-1,Final,,,,,,,,,,
26,14/02/2026,19:00,Puntarenas FC,Municipal Pérez Zeledón,1-0,Final,,,,,,,,,,
26,15/02/2026,19:00,Guadalupe,AD San Carlos,3-4,Final,,,,,,,,,,
26,15/02/2026,19:00,CS Herediano,CS Cartaginés,1-0,Final,,,,,,,,,,
26,15/02/2026,19:00,Municipal Liberia,Deportivo Saprissa,0-1,Final,,,,,,,,,,
26,16/02/2026,19:00,LD Alajuelense,Sporting FC,1-2,Final,,,,,,,,,,
27,22/02/2026,19:00,Sporting FC,Puntarenas FC,1-2,Final,,,,,,,,,,
27,22/02/2026,19:00,Deportivo Saprissa,LD Alajuelense,2-1,Final,,,,,,,,,,
27,22/02/2026,19:00,CS Cartaginés,Municipal Liberia,2-1,Final,,,,,,,,,,
27,22/02/2026,19:00,Municipal Pérez Zeledón,Guadalupe,1-1,Final,,,,,,,,,,
27,23/02/2026,19:00,AD San Carlos,CS Herediano,1-0,Final,,,,,,,,,,
28,01/03/2026,19:00,Puntarenas FC,LD Alajuelense,2-0,Final,,,,,,,,,,
28,01/03/2026,19:00,CS Herediano,Municipal Pérez Zeledón,3-0,Final,,,,,,,,,,
28,01/03/2026,19:00,Guadalupe,Deportivo Saprissa,0-2,Final,,,,,,,,,,
28,02/03/2026,19:00,Municipal Liberia,Sporting FC,1-0,Final,,,,,,,,,,
28,02/03/2026,19:00,AD San Carlos,CS Cartaginés,1-1,Final,,,,,,,,,,
29,04/03/2026,19:00,LD Alajuelense,CS Cartaginés,2-0,Final,,,,,,,,,,
29,04/03/2026,19:00,Municipal Pérez Zeledón,Municipal Liberia,1-1,Final,,,,,,,,,,
29,05/03/2026,19:00,Puntarenas FC,AD San Carlos,0-0,Final,,,,,,,,,,
29,05/03/2026,19:00,Guadalupe,CS Herediano,0-2,Final,,,,,,,,,,
29,06/03/2026,19:00,Deportivo Saprissa,Sporting FC,1-2,Final,,,,,,,,,,
30,08/03/2026,19:00,AD San Carlos,LD Alajuelense,0-2,Final,,,,,,,,,,
30,08/03/2026,19:00,CS Cartaginés,Puntarenas FC,3-2,Final,,,,,,,,,,
30,09/03/2026,19:00,Deportivo Saprissa,CS Herediano,2-1,Final,,,,,,,,,,
30,10/03/2026,19:00,Sporting FC,Municipal Pérez Zeledón,3-2,Final,,,,,,,,,,
30,10/03/2026,19:00,Municipal Liberia,Guadalupe,1-0,Final,,,,,,,,,,
31,14/03/2026,19:00,LD Alajuelense,Municipal Pérez Zeledón,3-0,Final,,,,,,,,,,
31,15/03/2026,19:00,Sporting FC,AD San Carlos,1-0,Final,,,,,,,,,,
31,15/03/2026,19:00,CS Herediano,Municipal Liberia,1-2,Final,,,,,,,,,,
31,15/03/2026,19:00,CS Cartaginés,Deportivo Saprissa,2-1,Final,,,,,,,,,,
31,15/03/2026,19:00,Guadalupe,Puntarenas FC,2-1,Final,,,,,,,,,,
32,21/03/2026,19:00,Puntarenas FC,Municipal Liberia,0-1,Final,,,,,,,,,,
32,21/03/2026,19:00,Guadalupe,Sporting FC,0-0,Final,,,,,,,,,,
32,22/03/2026,19:00,CS Herediano,LD Alajuelense,2-1,Final,,,,,,,,,,
32,22/03/2026,19:00,Municipal Pérez Zeledón,CS Cartaginés,3-1,Final,,,,,,,,,,
32,23/03/2026,19:00,AD San Carlos,Deportivo Saprissa,1-3,Final,,,,,,,,,,
33,03/04/2026,19:00,Sporting FC,CS Cartaginés,2-3,Final,,,,,,,,,,
33,05/04/2026,19:00,Deportivo Saprissa,Municipal Pérez Zeledón,4-0,Final,,,,,,,,,,
33,06/04/2026,19:00,Puntarenas FC,CS Herediano,0-1,Final,,,,,,,,,,
33,06/04/2026,19:00,LD Alajuelense,Guadalupe,1-1,Final,,,,,,,,,,
33,07/04/2026,19:00,Municipal Liberia,AD San Carlos,5-1,Final,,,,,,,,,,
34,11/04/2026,19:00,CS Cartaginés,CS Herediano,1-2,Final,,,,,,,,,,
