1. Jornada
12.03.2021
"San Martín de San Juan
4:2
Atlético Rafaela"
13.03.2021
"Defensores de Belgrano
0:0
Instituto de Córdoba"
"San Telmo
1:1
Barracas Central"
"Villa Dálmine
0:0
Independiente Rivadavia"
"Ramón Santamarina
2:1
Gimnasia de Jujuy"
"All Boys
1:3
Deportivo Morón"
14.03.2021
"Brown de Adrogué
1:0
Guillermo Brown"
15.03.2021
"Güemes de SdE
2:0
Ferro Carril Oeste"
16.03.2021
"Almagro
1:3
Tristan Suárez"
2. Jornada
19.03.2021
"Atlético Rafaela
0:0
Villa Dálmine"
20.03.2021
"Barracas Central
1:1
Defensores de Belgrano"
"Tristan Suárez
1:2
Güemes de SdE"
"Instituto de Córdoba
0:0
Ramón Santamarina"
"Gimnasia de Jujuy
1:2
Almagro"
"Ferro Carril Oeste
2:0
Deportivo Morón"
21.03.2021
"Guillermo Brown
0:0
San Martín de San Juan"
"Brown de Adrogué
1:1
All Boys"
22.03.2021
"Independiente Rivadavia
4:3
San Telmo"
3. Jornada
27.03.2021
"Almagro
2:1
Instituto de Córdoba"
"Ramón Santamarina
1:1
Barracas Central"
"All Boys
3:0
Ferro Carril Oeste"
28.03.2021
"San Telmo
0:0
Atlético Rafaela"
"Villa Dálmine
1:1
Guillermo Brown"
29.03.2021
"Güemes de SdE
1:0
Gimnasia de Jujuy"
"San Martín de San Juan
1:2
Brown de Adrogué"
"Defensores de Belgrano
1:2
Independiente Rivadavia"
30.03.2021
"Deportivo Morón
1:0
Tristan Suárez"
4. Jornada
03.04.2021
"Barracas Central
2:1
Almagro"
"Atlético Rafaela
0:0
Defensores de Belgrano"
04.04.2021
"Tristan Suárez
1:0
Ferro Carril Oeste"
"Brown de Adrogué
2:0
Villa Dálmine"
"Instituto de Córdoba
0:0
Güemes de SdE"
"Guillermo Brown
1:2
San Telmo"
"San Martín de San Juan
0:2
All Boys"
"Gimnasia de Jujuy
2:0
Deportivo Morón"
05.04.2021
"Independiente Rivadavia
3:1
Ramón Santamarina"
5. Jornada
10.04.2021
"Ferro Carril Oeste
0:0
Gimnasia de Jujuy"
"Defensores de Belgrano
2:0
Guillermo Brown"
"Villa Dálmine
1:1
San Martín de San Juan"
11.04.2021
"All Boys
2:0
Tristan Suárez"
"Almagro
0:2
Independiente Rivadavia"
"San Telmo
2:1
Brown de Adrogué"
"Deportivo Morón
2:2
Instituto de Córdoba"
"Ramón Santamarina
0:0
Atlético Rafaela"
12.04.2021
"Güemes de SdE
3:0
Barracas Central"
6. Jornada
17.04.2021
"Brown de Adrogué
0:3
Defensores de Belgrano"
"Barracas Central
1:0
Deportivo Morón"
"Instituto de Córdoba
2:2
Ferro Carril Oeste"
"Villa Dálmine
0:0
All Boys"
"Gimnasia de Jujuy
2:0
Tristan Suárez"
18.04.2021
"Atlético Rafaela
4:1
Almagro"
"Guillermo Brown
0:0
Ramón Santamarina"
"San Martín de San Juan
5:0
San Telmo"
19.04.2021
"Independiente Rivadavia
1:1
Güemes de SdE"
7. Jornada
24.04.2021
"All Boys
1:0
Gimnasia de Jujuy"
"Tristan Suárez
2:2
Instituto de Córdoba"
"Almagro
2:2
Guillermo Brown"
"Ramón Santamarina
0:0
Brown de Adrogué"
"Ferro Carril Oeste
2:1
Barracas Central"
"Defensores de Belgrano
1:1
San Martín de San Juan"
25.04.2021
"Deportivo Morón
2:2
Independiente Rivadavia"
"San Telmo
1:0
Villa Dálmine"
26.04.2021
"Güemes de SdE
0:2
Atlético Rafaela"
8. Jornada
30.04.2021
"Brown de Adrogué
2:0
Almagro"
"Instituto de Córdoba
1:2
Gimnasia de Jujuy"
02.05.2021
"Guillermo Brown
1:2
Güemes de SdE"
"Atlético Rafaela
3:1
Deportivo Morón"
"San Telmo
1:1
All Boys"
"Independiente Rivadavia
1:2
Ferro Carril Oeste"
"San Martín de San Juan
0:2
Ramón Santamarina"
03.05.2021
"Barracas Central
3:1
Tristan Suárez"
04.05.2021
"Villa Dálmine
0:0
Defensores de Belgrano"
9. Jornada
08.05.2021
"Tristan Suárez
1:2
Independiente Rivadavia"
"Deportivo Morón
0:0
Guillermo Brown"
"Ferro Carril Oeste
1:0
Atlético Rafaela"
"All Boys
1:2
Instituto de Córdoba"
09.05.2021
"Gimnasia de Jujuy
2:1
Barracas Central"
"Almagro
0:1
San Martín de San Juan"
"Ramón Santamarina
2:0
Villa Dálmine"
10.05.2021
"Güemes de SdE
1:1
Brown de Adrogué"
"Defensores de Belgrano
0:0
San Telmo"
10. Jornada
14.05.2021
"Atlético Rafaela
2:2
Tristan Suárez"
15.05.2021
"Barracas Central
1:1
Instituto de Córdoba"
16.05.2021
"Villa Dálmine
0:1
Almagro"
"San Telmo
2:2
Ramón Santamarina"
"Brown de Adrogué
0:1
Deportivo Morón"
"Guillermo Brown
3:1
Ferro Carril Oeste"
"San Martín de San Juan
1:2
Güemes de SdE"
17.05.2021
"Independiente Rivadavia
1:1
Gimnasia de Jujuy"
"Defensores de Belgrano
0:0
All Boys"
11. Jornada
09.06.2021
"Tristan Suárez
1:0
Guillermo Brown"
"Instituto de Córdoba
0:0
Independiente Rivadavia"
"Güemes de SdE
0:0
Villa Dálmine"
10.06.2021
"Gimnasia de Jujuy
1:0
Atlético Rafaela"
"Deportivo Morón
1:0
San Martín de San Juan"
"Ramón Santamarina
0:2
Defensores de Belgrano"
11.06.2021
"Ferro Carril Oeste
1:0
Brown de Adrogué"
"Almagro
1:0
San Telmo"
"All Boys
0:0
Barracas Central"
12. Jornada
17.06.2021
"San Telmo
1:1
Güemes de SdE"
"Villa Dálmine
2:0
Deportivo Morón"
"Ramón Santamarina
2:0
All Boys"
"Brown de Adrogué
2:1
Tristan Suárez"
"Guillermo Brown
0:0
Gimnasia de Jujuy"
"Atlético Rafaela
0:1
Instituto de Córdoba"
"Independiente Rivadavia
0:0
Barracas Central"
"Defensores de Belgrano
1:0
Almagro"
"San Martín de San Juan
1:1
Ferro Carril Oeste"
13. Jornada
22.06.2021
"Tristan Suárez
4:1
San Martín de San Juan"
"Barracas Central
2:1
Atlético Rafaela"
"Almagro
1:1
Ramón Santamarina"
23.06.2021
"All Boys
1:1
Independiente Rivadavia"
"Instituto de Córdoba
1:1
Guillermo Brown"
"Deportivo Morón
2:0
San Telmo"
"Ferro Carril Oeste
0:0
Villa Dálmine"
"Güemes de SdE
2:2
Defensores de Belgrano"
24.06.2021
"Gimnasia de Jujuy
0:0
Brown de Adrogué"
14. Jornada
27.06.2021
"Guillermo Brown
0:1
Barracas Central"
"San Telmo
1:0
Ferro Carril Oeste"
"Villa Dálmine
1:1
Tristan Suárez"
"Almagro
3:0
All Boys"
"Ramón Santamarina
1:2
Güemes de SdE"
"Atlético Rafaela
2:1
Independiente Rivadavia"
28.06.2021
"Brown de Adrogué
2:0
Instituto de Córdoba"
29.06.2021
"Defensores de Belgrano
0:2
Deportivo Morón"
"San Martín de San Juan
2:2
Gimnasia de Jujuy"
15. Jornada
03.07.2021
"Barracas Central
1:1
Brown de Adrogué"
"Tristan Suárez
1:1
San Telmo"
04.07.2021
"Deportivo Morón
2:1
Ramón Santamarina"
"Güemes de SdE
0:2
Almagro"
"Ferro Carril Oeste
1:1
Defensores de Belgrano"
"All Boys
0:1
Atlético Rafaela"
"Independiente Rivadavia
0:2
Guillermo Brown"
"Instituto de Córdoba
1:1
San Martín de San Juan"
05.07.2021
"Gimnasia de Jujuy
1:0
Villa Dálmine"
16. Jornada
10.07.2021
"Defensores de Belgrano
1:6
Tristan Suárez"
"Brown de Adrogué
1:1
Independiente Rivadavia"
"San Telmo
0:0
Gimnasia de Jujuy"
11.07.2021
"Güemes de SdE
1:0
All Boys"
"Almagro
2:1
Deportivo Morón"
"Ramón Santamarina
0:2
Ferro Carril Oeste"
"Guillermo Brown
1:1
Atlético Rafaela"
12.07.2021
"Villa Dálmine
1:2
Instituto de Córdoba"
"San Martín de San Juan
2:3
Barracas Central"
17. Jornada
17.07.2021
"Gimnasia de Jujuy
1:3
Defensores de Belgrano"
"Tristan Suárez
2:1
Ramón Santamarina"
"All Boys
3:0
Guillermo Brown"
"Independiente Rivadavia
1:1
San Martín de San Juan"
"Barracas Central
1:0
Villa Dálmine"
18.07.2021
"Deportivo Morón
0:2
Güemes de SdE"
"Atlético Rafaela
2:0
Brown de Adrogué"
"Ferro Carril Oeste
1:2
Almagro"
19.07.2021
"Instituto de Córdoba
1:0
San Telmo"
18. Jornada
24.07.2021
"Tristan Suárez
1:1
Almagro"
"Gimnasia de Jujuy
1:0
Ramón Santamarina"
"Guillermo Brown
0:3
Brown de Adrogué"
"Ferro Carril Oeste
1:1
Güemes de SdE"
"Atlético Rafaela
0:2
San Martín de San Juan"
"Barracas Central
3:2
San Telmo"
"Independiente Rivadavia
1:1
Villa Dálmine"
25.07.2021
"Deportivo Morón
3:0
All Boys"
"Instituto de Córdoba
0:2
Defensores de Belgrano"
19. Jornada
31.07.2021
"Villa Dálmine
1:0
Atlético Rafaela"
"Defensores de Belgrano
0:0
Barracas Central"
"All Boys
1:1
Brown de Adrogué"
"San Martín de San Juan
0:0
Guillermo Brown"
01.08.2021
"Almagro
2:2
Gimnasia de Jujuy"
"Güemes de SdE
0:0
Tristan Suárez"
"Deportivo Morón
1:0
Ferro Carril Oeste"
"San Telmo
1:0
Independiente Rivadavia"
02.08.2021
"Ramón Santamarina
0:0
Instituto de Córdoba"
20. Jornada
06.08.2021
"Atlético Rafaela
2:2
San Telmo"
07.08.2021
"Brown de Adrogué
1:0
San Martín de San Juan"
"Tristan Suárez
2:0
Deportivo Morón"
"Gimnasia de Jujuy
1:1
Güemes de SdE"
"Guillermo Brown
1:1
Villa Dálmine"
08.08.2021
"Independiente Rivadavia
1:1
Defensores de Belgrano"
09.08.2021
"Instituto de Córdoba
1:1
Almagro"
"Barracas Central
2:2
Ramón Santamarina"
11.08.2021
"Ferro Carril Oeste
0:0
All Boys"
21. Jornada
14.08.2021
"Deportivo Morón
2:0
Gimnasia de Jujuy"
15.08.2021
"Almagro
0:1
Barracas Central"
"Defensores de Belgrano
2:0
Atlético Rafaela"
"San Telmo
1:2
Guillermo Brown"
"Ramón Santamarina
0:1
Independiente Rivadavia"
"Villa Dálmine
1:0
Brown de Adrogué"
"All Boys
0:1
San Martín de San Juan"
"Ferro Carril Oeste
2:0
Tristan Suárez"
17.08.2021
"Güemes de SdE
1:1
Instituto de Córdoba"
22. Jornada
21.08.2021
"Barracas Central
1:0
Güemes de SdE"
"Brown de Adrogué
2:2
San Telmo"
"Tristan Suárez
0:2
All Boys"
"Gimnasia de Jujuy
0:0
Ferro Carril Oeste"
"Guillermo Brown
1:1
Defensores de Belgrano"
22.08.2021
"Independiente Rivadavia
1:1
Almagro"
"Atlético Rafaela
0:1
Ramón Santamarina"
"San Martín de San Juan
1:0
Villa Dálmine"
23.08.2021
